Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 30-Aug-2023 at 13:49:06.
RAAW-GE Tower                                                                                      
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.77188E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.1358	 0.000000	 0.000000	 0.002647	 0.042637	 0.000000
 0.1399	 0.000000	 0.000000	 0.002806	 0.043863	 0.000000
 0.1497	 0.000000	 0.000000	 0.003205	 0.046762	 0.000000
 0.1567	 0.000000	 0.000000	 0.003503	 0.048790	 0.000000
 0.1636	 0.000000	 0.000000	 0.003814	 0.050795	 0.000000
 0.1706	 0.000000	 0.000000	 0.004137	 0.052778	 0.000000
 0.1776	 0.000000	 0.000000	 0.004473	 0.054738	 0.000000
 0.1845	 0.000000	 0.000000	 0.004820	 0.056675	 0.000000
 0.1915	 0.000000	 0.000000	 0.005180	 0.058589	 0.000000
 0.1985	 0.000000	 0.000000	 0.005552	 0.060480	 0.000000
 0.2054	 0.000000	 0.000000	 0.005935	 0.062497	 0.000000
 0.2124	 0.000000	 0.000000	 0.006332	 0.064505	 0.000000
 0.2194	 0.000000	 0.000000	 0.006740	 0.066505	 0.000000
 0.2263	 0.000000	 0.000000	 0.007162	 0.068496	 0.000000
 0.2333	 0.000000	 0.000000	 0.007595	 0.070479	 0.000000
 0.2403	 0.000000	 0.000000	 0.008041	 0.072452	 0.000000
 0.2472	 0.000000	 0.000000	 0.008499	 0.074416	 0.000000
 0.2507	 0.000000	 0.000000	 0.008733	 0.075395	 0.000000
 0.3203	 0.000000	 0.000000	 0.014049	 0.094476	 0.000000
 0.3797	 0.000000	 0.000000	 0.019523	 0.110859	 0.000000
 0.4248	 0.000000	 0.000000	 0.024262	 0.123460	 0.000000
 0.4596	 0.000000	 0.000000	 0.028264	 0.132897	 0.000000
 0.4866	 0.000000	 0.000000	 0.031570	 0.140040	 0.000000
 0.5137	 0.000000	 0.000000	 0.035047	 0.147023	 0.000000
 0.5407	 0.000000	 0.000000	 0.038695	 0.154185	 0.000000
 0.5677	 0.000000	 0.000000	 0.042514	 0.161141	 0.000000
 0.5947	 0.000000	 0.000000	 0.046499	 0.167890	 0.000000
