Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 23-Apr-2024 at 12:57:09.
IEA15 tower                                                                                        
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.24429E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.1358	 0.000000	 0.000000	-0.001954	-0.031836	 0.000000
 0.1399	 0.000000	 0.000000	-0.002073	-0.032786	 0.000000
 0.1497	 0.000000	 0.000000	-0.002372	-0.035043	 0.000000
 0.1567	 0.000000	 0.000000	-0.002595	-0.036630	 0.000000
 0.1636	 0.000000	 0.000000	-0.002829	-0.038206	 0.000000
 0.1706	 0.000000	 0.000000	-0.003072	-0.039772	 0.000000
 0.1776	 0.000000	 0.000000	-0.003325	-0.041326	 0.000000
 0.1845	 0.000000	 0.000000	-0.003588	-0.042870	 0.000000
 0.1915	 0.000000	 0.000000	-0.003860	-0.044402	 0.000000
 0.1985	 0.000000	 0.000000	-0.004142	-0.045924	 0.000000
 0.2054	 0.000000	 0.000000	-0.004434	-0.047554	 0.000000
 0.2124	 0.000000	 0.000000	-0.004736	-0.049186	 0.000000
 0.2194	 0.000000	 0.000000	-0.005048	-0.050819	 0.000000
 0.2263	 0.000000	 0.000000	-0.005370	-0.052453	 0.000000
 0.2333	 0.000000	 0.000000	-0.005702	-0.054088	 0.000000
 0.2403	 0.000000	 0.000000	-0.006045	-0.055725	 0.000000
 0.2472	 0.000000	 0.000000	-0.006398	-0.057364	 0.000000
 0.2507	 0.000000	 0.000000	-0.006578	-0.058183	 0.000000
 0.3203	 0.000000	 0.000000	-0.010732	-0.074657	 0.000000
 0.3797	 0.000000	 0.000000	-0.015110	-0.089701	 0.000000
 0.4248	 0.000000	 0.000000	-0.018985	-0.101966	 0.000000
 0.4596	 0.000000	 0.000000	-0.022319	-0.111624	 0.000000
 0.4866	 0.000000	 0.000000	-0.025115	-0.119254	 0.000000
 0.5137	 0.000000	 0.000000	-0.028098	-0.127022	 0.000000
 0.5407	 0.000000	 0.000000	-0.031275	-0.135341	 0.000000
 0.5677	 0.000000	 0.000000	-0.034656	-0.143810	 0.000000
 0.5947	 0.000000	 0.000000	-0.038243	-0.152454	 0.000000
 0.6217	 0.000000	 0.000000	-0.042049	-0.161838	 0.000000
 0.6488	 0.000000	 0.000000	-0.046080	-0.171052	 0.000000
 0.6758	 0.000000	 0.000000	-0.050332	-0.180081	 0.000000
 0.7028	 0.000000	 0.000000	-0.054801	-0.188906	 0.000000
 0.7298	 0.000000	 0.000000	-0.059492	-0.198445	 0.000000
 0.7568	 0.000000	 0.000000	-0.064406	-0.207299	 0.000000
 0.7839	 0.000000	 0.000000	-0.069526	-0.215449	 0.000000
 0.8109	 0.000000	 0.000000	-0.074834	-0.222873	 0.000000
 0.8379	 0.000000	 0.000000	-0.080326	-0.230565	 0.000000
 0.8649	 0.000000	 0.000000	-0.085992	-0.237375	 0.000000
 0.8919	 0.000000	 0.000000	-0.091812	-0.243276	 0.000000
 0.9189	 0.000000	 0.000000	-0.097756	-0.247587	 0.000000
 0.9460	 0.000000	 0.000000	-0.103794	-0.251010	 0.000000
 0.9730	 0.000000	 0.000000	-0.109905	-0.253539	 0.000000
 1.0000	 0.000000	 0.000000	-0.116065	-0.255172	 0.000000


 -------- Mode No.   3  (freq = 0.11184E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000003	 0.001783	 0.000000	 0.000000	 0.000003
 0.0104	 0.000025	 0.005307	 0.000000	 0.000000	 0.000009
 0.0174	 0.000069	 0.008773	 0.000000	 0.000000	 0.000015
 0.0244	 0.000134	 0.012181	 0.000000	 0.000000	 0.000022
 0.0313	 0.000221	 0.015532	 0.000000	 0.000000	 0.000028
 0.0383	 0.000328	 0.018825	 0.000000	 0.000000	 0.000034
 0.0453	 0.000456	 0.022060	 0.000000	 0.000000	 0.000040
 0.0522	 0.000603	 0.025237	 0.000000	 0.000000	 0.000046
 0.0592	 0.000770	 0.028357	 0.000000	 0.000000	 0.000052
 0.0662	 0.000957	 0.031419	 0.000000	 0.000000	 0.000059
 0.0731	 0.001163	 0.034424	 0.000000	 0.000000	 0.000065
 0.0801	 0.001387	 0.037371	 0.000000	 0.000000	 0.000071
 0.0870	 0.001629	 0.040260	 0.000000	 0.000000	 0.000077
 0.0940	 0.001889	 0.043092	 0.000000	 0.000000	 0.000083
 0.1010	 0.002166	 0.045866	 0.000000	 0.000000	 0.000089
 0.1079	 0.002462	 0.048810	 0.000000	 0.000000	 0.000096
 0.1149	 0.002776	 0.051695	 0.000000	 0.000000	 0.000102
 0.1219	 0.003107	 0.054522	 0.000000	 0.000000	 0.000108
 0.1288	 0.003456	 0.057292	 0.000000	 0.000000	 0.000114
 0.1358	 0.003822	 0.060003	 0.000000	 0.000000	 0.000120
 0.1399	 0.004046	 0.061574	 0.000000	 0.000000	 0.000124
 0.1497	 0.004604	 0.065250	 0.000000	 0.000000	 0.000133
 0.1567	 0.005019	 0.067786	 0.000000	 0.000000	 0.000139
 0.1636	 0.005450	 0.070263	 0.000000	 0.000000	 0.000145
 0.1706	 0.005896	 0.072682	 0.000000	 0.000000	 0.000151
